"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122954","test_generate_mcq","tests.api","Sat May 23 22:04:27 UTC 2026","failed","Sat May 23 22:06:30 UTC 2026","TestQuizAPIs","test_quiz","",""
"GET /api/students/results/99999 → 404.","308","test_p1_student_result_detail_nonexistent","tests.api","Sat May 23 21:59:06 UTC 2026","passed","Sat May 23 21:59:06 UTC 2026","TestAuthStudentAssessmentsP1","test_auth","",""
"P1: Get JDs uploaded by a specific user.","286","test_get_jds_by_user","tests.api","Sat May 23 21:59:38 UTC 2026","passed","Sat May 23 21:59:38 UTC 2026","TestAuthJDExtended","test_auth","",""
"","307","test_record_quiz_question_result","tests.api","Sat May 23 22:00:54 UTC 2026","passed","Sat May 23 22:00:55 UTC 2026","TestCoursesAnalytics","test_courses","",""
"P1: PUT /wallet/controls without token → 401/403.","337","test_p1_update_controls_no_auth","tests.api","Sat May 23 22:00:22 UTC 2026","passed","Sat May 23 22:00:22 UTC 2026","TestBillingWallet","test_billing","",""
"","304","test_p1_search_empty_query","tests.api","Sat May 23 22:00:59 UTC 2026","passed","Sat May 23 22:00:59 UTC 2026","TestCoursesSearchP1","test_courses","",""
"","283","test_get_classroom","tests.api","Sat May 23 21:59:59 UTC 2026","passed","Sat May 23 22:00:00 UTC 2026","TestAuthClassrooms","test_auth","",""
"","309","test_update_module","tests.api","Sat May 23 22:00:43 UTC 2026","passed","Sat May 23 22:00:43 UTC 2026","TestCoursesModules","test_courses","",""
"POST /auth/api/matching/run as regular user → 403.","312","test_p1_match_jd_without_permission","tests.api","Sat May 23 21:58:40 UTC 2026","passed","Sat May 23 21:58:41 UTC 2026","TestAuthUniversityP1","test_auth","",""
"P0: GET /v1/sessions/me/skill-scores — get my session skill scores.","307","test_get_my_session_skill_scores","tests.api","Sat May 23 22:11:44 UTC 2026","passed","Sat May 23 22:11:44 UTC 2026","TestQuizNewEndpoints","test_quiz","",""
"P0: GET /api/v1/resumes/{id}/skills.","288","test_get_resume_skills_new","tests.api","Sat May 23 22:12:12 UTC 2026","passed","Sat May 23 22:12:13 UTC 2026","TestResumeNewEndpoints","test_resumes","",""
"","347","test_p1_pending_invites_no_auth","tests.api","Sat May 23 22:00:12 UTC 2026","passed","Sat May 23 22:00:12 UTC 2026","TestAuthNewP1","test_auth","",""
"","287","test_bulk_invite","tests.api","Sat May 23 22:00:08 UTC 2026","failed","Sat May 23 22:00:08 UTC 2026","TestAuthUniversities","test_auth","",""
"","286","test_accept_my_pending_university_invite","tests.api","Sat May 23 21:58:29 UTC 2026","passed","Sat May 23 21:58:29 UTC 2026","TestAuthUniversity","test_auth","",""
"P0: Export assessment results as CSV.","287","test_export_assessment_csv","tests.api","Sat May 23 21:58:58 UTC 2026","passed","Sat May 23 21:58:58 UTC 2026","TestAuthAssessments","test_auth","",""
"","4100","test_generate_interview_pdf","tests.api","Sat May 23 22:10:48 UTC 2026","failed","Sat May 23 22:10:52 UTC 2026","TestQuizAPIs","test_quiz","",""
"Docs page should be reachable (safe smoke test).","355","test_jobs_docs","tests.api","Sat May 23 22:01:38 UTC 2026","passed","Sat May 23 22:01:38 UTC 2026","","test_jobs_endpoints","",""
"P1: GET /v1/user/99999/recommendations → 404 or empty.","303","test_p1_user_recommendations_nonexistent","tests.api","Sat May 23 22:01:38 UTC 2026","passed","Sat May 23 22:01:38 UTC 2026","TestInterviewNewEndpointsP1","test_interview","",""
"P1: POST /api/v1/resumes/builder/enhance-section with empty → 422.","282","test_p1_builder_enhance_empty","tests.api","Sat May 23 22:12:15 UTC 2026","passed","Sat May 23 22:12:15 UTC 2026","TestResumeNewEndpointsP1","test_resumes","",""
"P1: GET /sessions/99999/review → 404.","294","test_p1_get_review_nonexistent","tests.api","Sat May 23 22:02:10 UTC 2026","passed","Sat May 23 22:02:10 UTC 2026","TestMentorshipSessions","test_mentorship","",""
"POST /auth/register with already-used email → 409.","309","test_p1_register_duplicate_email","tests.api","Sat May 23 21:58:14 UTC 2026","passed","Sat May 23 21:58:14 UTC 2026","TestAuthPublicP1","test_auth","",""
"","303","test_p1_enroll_missing_course_id","tests.api","Sat May 23 22:00:47 UTC 2026","passed","Sat May 23 22:00:47 UTC 2026","TestCoursesEnrollmentsP1","test_courses","",""
"P1: POST without token → 401.","342","test_p1_ai_add_questions_no_auth","tests.api","Sat May 23 21:59:13 UTC 2026","passed","Sat May 23 21:59:13 UTC 2026","TestAuthAIAddQuestionsP1","test_auth","",""
"","694","test_submit_reply","tests.api","Sat May 23 22:01:21 UTC 2026","failed","Sat May 23 22:01:22 UTC 2026","TestAIInterview","test_interview","",""
"PUT /auth/api/company/99999 → 404.","285","test_p1_update_nonexistent_company","tests.api","Sat May 23 21:58:48 UTC 2026","passed","Sat May 23 21:58:48 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","286","test_p1_user_roles_nonexistent","tests.api","Sat May 23 22:00:16 UTC 2026","passed","Sat May 23 22:00:16 UTC 2026","TestAuthNewP1","test_auth","",""
"","285","test_bulk_invite_students","tests.api","Sat May 23 21:58:28 UTC 2026","passed","Sat May 23 21:58:29 UTC 2026","TestAuthUniversity","test_auth","",""
"P0: List my availability slots (requires mentor role → may 403).","296","test_list_my_availability","tests.api","Sat May 23 22:02:04 UTC 2026","passed","Sat May 23 22:02:05 UTC 2026","TestMentorshipAvailability","test_mentorship","",""
"POST /api/assessments/manual-create without token → 401.","342","test_p1_manual_create_assessment_no_auth","tests.api","Sat May 23 21:58:59 UTC 2026","passed","Sat May 23 21:58:59 UTC 2026","TestAuthAssessmentsP1","test_auth","",""
"","588","test_run_migration_admin","tests.api","Sat May 23 22:11:24 UTC 2026","passed","Sat May 23 22:11:24 UTC 2026","TestQuizAPIs","test_quiz","",""
"POST /api/assessments/manual-create with empty body → 422.","283","test_p1_manual_create_assessment_empty","tests.api","Sat May 23 21:58:58 UTC 2026","passed","Sat May 23 21:58:59 UTC 2026","TestAuthAssessmentsP1","test_auth","",""
"","570","test_get_user_evaluation_by_admin","tests.api","Sat May 23 22:11:05 UTC 2026","passed","Sat May 23 22:11:06 UTC 2026","TestQuizAPIs","test_quiz","",""
