"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","345","test_create_bookmark","tests.api","Sun May 17 16:05:08 UTC 2026","passed","Sun May 17 16:05:08 UTC 2026","TestCoursesNotes","test_courses","",""
"GET /api/students/upcoming-assessments without token → 401.","344","test_p1_student_upcoming_no_auth","tests.api","Sun May 17 16:03:06 UTC 2026","passed","Sun May 17 16:03:06 UTC 2026","TestAuthStudentAssessmentsP1","test_auth","",""
"P1: POST /api/v1/resumes/builder/parse with empty → 422.","245","test_p1_builder_parse_empty","tests.api","Sun May 17 16:17:19 UTC 2026","passed","Sun May 17 16:17:19 UTC 2026","TestResumeNewEndpointsP1","test_resumes","",""
"","237","test_export_csv","tests.api","Sun May 17 16:03:53 UTC 2026","passed","Sun May 17 16:03:53 UTC 2026","TestAuthAssessmentsCRUD","test_auth","",""
"P0: Admin can update a university name.","225","test_update_university","tests.api","Sun May 17 16:03:09 UTC 2026","passed","Sun May 17 16:03:09 UTC 2026","TestAuthUniversityCRUD","test_auth","",""
"","1334","test_p1_vote_review_nonexistent","tests.api","Sun May 17 16:04:57 UTC 2026","passed","Sun May 17 16:04:59 UTC 2026","TestCoursesReviewsP1","test_courses","",""
"","430","test_list_university_groups","tests.api","Sun May 17 16:02:27 UTC 2026","passed","Sun May 17 16:02:28 UTC 2026","TestAuthUniversity","test_auth","",""
"P0: Root endpoint returns 200.","267","test_root","tests.api","Sun May 17 16:04:27 UTC 2026","passed","Sun May 17 16:04:27 UTC 2026","TestBillingHealth","test_billing","",""
"","302","test_p1_create_session_empty","tests.api","Sun May 17 16:16:48 UTC 2026","passed","Sun May 17 16:16:48 UTC 2026","TestQuizP1","test_quiz","",""
"P0: GET /v1/analyze/session/{id}/trends — session trends.","254","test_get_analyze_session_trends","tests.api","Sun May 17 16:05:50 UTC 2026","passed","Sun May 17 16:05:51 UTC 2026","TestInterviewNewEndpoints","test_interview","",""
"","318","test_get_assessment_p0","tests.api","Sun May 17 16:15:11 UTC 2026","passed","Sun May 17 16:15:11 UTC 2026","TestQuizAPIs","test_quiz","",""
